query,answer
How do I reverse a string in Python?,"Use slicing with a negative step: `text[::-1]`. It works on any sequence and creates a new string. For an iterator of characters, `reversed(text)` avoids building the copy."
What is the difference between a list and a tuple?,"A list is mutable and a tuple is not. Because tuples are immutable they can be dictionary keys and are slightly cheaper to create. Reach for a tuple when the collection is a fixed record, a list when it will change."
How do I read a large CSV without running out of memory?,"Read it in chunks: `pd.read_csv(path, chunksize=100_000)` yields DataFrames you can process one at a time. Aggregate as you go rather than concatenating, and pass `usecols` to skip columns you never touch."
Why does my function return None?,"Almost always a missing `return`. A function without an explicit return gives back `None`, and so does a `return` statement on a branch you did not expect to take. Print the value just before the return to see which branch ran."
How do I catch only a specific exception?,Name it in the except clause: `except ValueError as e:`. Avoid bare `except:` because it also swallows KeyboardInterrupt and real bugs. Catch the narrowest exception that you can actually handle.
What does the * mean in a function signature?,"`*args` collects extra positional arguments into a tuple and `**kwargs` collects keyword arguments into a dict. A bare `*` marks every parameter after it as keyword-only, which is a good way to stop callers passing a confusing positional flag."
How do I merge two dictionaries?,"In modern Python use `a | b`, which returns a new dict where keys in `b` win. `{**a, **b}` does the same on older versions, and `a.update(b)` mutates `a` in place."
What is a virtual environment for?,It gives each project its own copy of installed packages so that two projects can depend on different versions of the same library. Create one with `python -m venv .venv` and activate it before installing anything.
How do I sort a list of dictionaries by a key?,"Pass a key function: `sorted(rows, key=lambda r: r['score'])`. Add `reverse=True` for descending order, and return a tuple from the key function to sort by several fields at once."
Why is my loop variable still set after the loop ends?,"Python does not create a new scope for `for` blocks, so the loop variable stays bound to its last value. If that matters, delete it or wrap the loop in a function so the name disappears with the frame."
How do I write to a file safely?,"Use a context manager: `with open(path, 'w', encoding='utf-8') as f:`. The file closes even if an exception is raised. Always pass the encoding explicitly so behaviour does not change between machines."
What is the difference between == and is?,"`==` compares values and `is` compares identity, meaning whether two names point at the same object. Use `is` only for singletons such as `None`, `True` and `False`."
How do I add a column to a DataFrame?,"Assign to it by name: `df['total'] = df['price'] * df['qty']`. Use bracket notation rather than attribute notation, because `df.total = ...` sets a plain attribute instead of creating a column."
How do I handle a missing key in a dictionary?,"`d.get('key', default)` returns the default instead of raising. If you want to insert the default at the same time, use `d.setdefault('key', default)`, and for counters use `collections.defaultdict`."
What causes a circular import?,"Two modules import each other at module level, so neither can finish loading. Break it by moving the import inside the function that needs it, or by extracting the shared piece into a third module."
How do I run only one test with pytest?,"Give it the node id: `pytest tests/test_api.py::test_route_returns_200`. `-k` filters by substring across the whole suite, and `-x` stops at the first failure."
How do I make an HTTP request with a timeout?,"Always pass one: `requests.get(url, timeout=10)`. Without it the call can hang forever, which in a server means a worker is tied up indefinitely. Wrap the call in try/except to handle the timeout you asked for."
What is the point of type hints?,"They document intent and let tools catch mistakes before you run the code. Python does not enforce them at runtime, so they are for you and your editor, not for the interpreter."
How do I remove duplicates from a list?,"`list(dict.fromkeys(items))` removes duplicates and preserves order. `set(items)` is faster but loses order, so only use it when order does not matter."
Why does modifying a default argument leak between calls?,"Default values are evaluated once when the function is defined, so a mutable default is shared by every call. Use `None` as the default and create the list or dict inside the body."
