query,answer
Is a verbal agreement enforceable?,"Often yes, but it is much harder to prove and some categories, such as land sales or agreements that cannot be performed within a year, must be in writing. Keep any emails or messages that record what was agreed. This is general information and not legal advice."
How long does copyright last?,"In most jurisdictions it runs for the life of the author plus a fixed number of years, commonly seventy. Works made for hire are usually measured from publication or creation instead. Check the rule for the specific country involved. This is general information and not legal advice."
What is the difference between a trademark and a copyright?,A trademark protects a name or logo that identifies the source of goods or services; copyright protects an original creative work. They can cover the same product for different reasons. This is general information and not legal advice.
Can my employer change my contract unilaterally?,"Usually not for material terms without your agreement, though many contracts reserve limited rights to vary specific items. What counts as material and what notice is required vary by jurisdiction. This is general information and not legal advice."
What does an indemnification clause do?,"It shifts the cost of certain losses from one party to the other, typically requiring one side to cover claims arising from its own acts. Read the carve-outs and any cap on liability alongside it. This is general information and not legal advice."
Is an electronic signature binding?,"In most jurisdictions yes, provided the signer intended to sign and the method reliably identifies them. Some documents, such as wills, may still require wet ink. This is general information and not legal advice."
What is fair use?,"It is a defence allowing limited use of copyrighted material without permission, weighed on factors such as purpose, amount used and effect on the market. It is decided case by case, so no fixed word count makes a use safe. This is general information and not legal advice."
What happens if someone dies without a will?,"The estate passes under intestacy rules, which set a fixed order of relatives who inherit. The outcome often differs from what the deceased would have chosen, particularly for unmarried partners. This is general information and not legal advice."
Can a non-compete clause be enforced?,"It depends heavily on jurisdiction. Some places refuse to enforce them for most employees; others uphold them if the scope, duration and geography are reasonable and protect a legitimate interest. This is general information and not legal advice."
What is the difference between an employee and a contractor?,"Classification turns on the substance of the relationship, such as control over how work is done, integration into the business and who bears financial risk, not on the label in the agreement. Misclassification carries tax and benefits exposure. This is general information and not legal advice."
Do I need to register a copyright to have one?,Copyright generally arises automatically when the work is fixed in a tangible form. Registration is optional in many places but can be a precondition to suing or to recovering certain damages. This is general information and not legal advice.
What is a statute of limitations?,"It is the deadline for bringing a claim, measured from when the claim arose or was discovered. Once it expires the claim is normally barred regardless of merit, so diary the date early. This is general information and not legal advice."
Can a company change its terms of service retroactively?,"Changes usually bind users only after notice and continued use, and purely retroactive changes to concluded transactions are often unenforceable. The clause describing how changes take effect is the place to start. This is general information and not legal advice."
What does a confidentiality clause survive mean?,"Survival means the obligation continues after the agreement ends, for a stated period or indefinitely for trade secrets. Check the survival clause separately from the term clause. This is general information and not legal advice."
Is recording a phone call legal?,It depends on whether the jurisdiction requires one party or all parties to consent. Recording across borders can trigger the stricter of the two rules. This is general information and not legal advice.
What rights do tenants have about landlord entry?,"Most jurisdictions require reasonable notice except in emergencies, and entry must be for a permitted purpose. The required notice period is set by local statute rather than by the lease alone. This is general information and not legal advice."
What is a force majeure clause?,"It excuses performance when defined extraordinary events prevent it. Whether a particular event qualifies depends on the wording, so a clause that lists specific events may not cover one that is merely unforeseen. This is general information and not legal advice."
Can a minor enter into a binding contract?,"Generally contracts with minors are voidable at the minor's option, with exceptions for necessities. The other party bears the risk that the contract will be disaffirmed. This is general information and not legal advice."
What is the difference between a patent and a trade secret?,A patent grants a time-limited monopoly in exchange for public disclosure; a trade secret lasts as long as secrecy is maintained but gives no protection against independent discovery. The choice depends on how easily the invention can be reverse engineered. This is general information and not legal advice.
What should a data processing agreement cover?,"Typically the scope and purpose of processing, security measures, use of sub-processors, assistance with data subject requests, and what happens to the data when the contract ends. Required contents are set by the applicable data protection law. This is general information and not legal advice."
