query_id,timestamp,user_id,user_tier,query_text,query_type,selected_model,token_count_input,token_count_output,latency_ms,cost_usd,status,error_message,context_compressed,compression_ratio,cached_response
q_001,2024-01-15T10:30:00Z,user_001,premium,What is machine learning and how does it work?,general,gpt-4-turbo,120,300,1200,0.0008,success,,False,0.0,False
q_002,2024-01-15T10:31:15Z,user_002,enterprise,Write a Python function to implement binary search,code_generation,mistral-7b,95,250,1800,0.0,success,,False,0.0,False
q_003,2024-01-15T10:32:30Z,user_003,free,Explain quantum computing in simple terms,general,gpt-4-turbo,80,180,950,0.0005,success,,False,0.0,True
q_004,2024-01-15T10:33:45Z,user_004,premium,Analyze the sentiment of customer reviews for our product,analysis,claude-3.5-sonnet,200,450,2200,0.002,success,,True,0.3,False
q_005,2024-01-15T10:35:00Z,user_005,enterprise,Summarize the quarterly earnings report and key insights,summarization,gpt-4-turbo,800,320,1400,0.0022,success,,True,0.4,False
q_006,2024-01-15T10:36:20Z,user_006,free,Help me debug this JavaScript code that's not working,code_generation,mistral-7b,150,200,2100,0.0,success,,False,0.0,False
q_007,2024-01-15T10:37:40Z,user_007,premium,What are the latest trends in renewable energy?,general,gpt-4-turbo,110,280,1150,0.0008,success,,False,0.0,False
q_008,2024-01-15T10:38:55Z,user_008,enterprise,Perform a SWOT analysis for our company's expansion plans,analysis,claude-3.5-sonnet,300,600,2800,0.0027,success,,False,0.0,False
q_009,2024-01-15T10:40:10Z,user_009,free,Explain the concept of blockchain technology,general,gpt-4-turbo,90,220,1050,0.0006,success,,False,0.0,True
q_010,2024-01-15T10:41:25Z,user_010,premium,Create a data visualization script in Python using matplotlib,code_generation,mistral-7b,180,350,2200,0.0,success,,False,0.0,False
q_011,2024-01-15T10:42:40Z,user_011,enterprise,Review and optimize our database query performance,analysis,claude-3.5-sonnet,250,400,2400,0.002,success,,False,0.0,False
q_012,2024-01-15T10:43:55Z,user_012,free,How do I prepare for a technical interview?,general,gpt-4-turbo,75,190,900,0.0005,success,,False,0.0,False
q_013,2024-01-15T10:45:10Z,user_013,premium,Translate this technical document from English to Spanish,general,gpt-4-turbo,400,420,1600,0.0016,success,,True,0.2,False
q_014,2024-01-15T10:46:25Z,user_014,enterprise,Design a microservices architecture for our new platform,code_generation,mistral-7b,220,480,2600,0.0,success,,False,0.0,False
q_015,2024-01-15T10:47:40Z,user_015,free,What are the benefits of cloud computing?,general,gpt-4-turbo,85,200,980,0.0006,success,,False,0.0,True
q_016,2024-01-15T10:48:55Z,user_016,premium,Analyze market trends for electric vehicles in 2024,analysis,claude-3.5-sonnet,180,380,2100,0.0017,success,,False,0.0,False
q_017,2024-01-15T10:50:10Z,user_017,enterprise,Generate API documentation for our REST endpoints,code_generation,mistral-7b,160,320,1900,0.0,success,,False,0.0,False
q_018,2024-01-15T10:51:25Z,user_018,free,Explain the difference between AI and machine learning,general,gpt-4-turbo,95,230,1100,0.0007,success,,False,0.0,False
